,sentences,labels
128,finals finals never late night sweet dreams lately hmmmm boredd watching quot quot,1
129,since last day school work tomorrow hopefully 'll see 'm sorry hear,1
130,gtfo home alone tonight fun night friends 'm sorry hear 're still,1
131,fake tanning yet 'll see ya 'll try go home going bed,0
132,looking forward seeing good morning everyone train pay tweet quot quot quot,1
133,iff uu il see ya 'll try go home going bed soon 'll try,1
134,sleepover get better hope get better hope get better hope get better,1
135,bit stupid twitter n't want go back work tomorrow hopefully 'll take ur head,0
136,see 'm sorry hear 're going bed soon 'll take ur head,0
137,car last day school work tomorrow hopefully 'll see 'm sorry hear,1
138,-o finished eating lunch going bed soon 'll take care much fun,1
139,text cuz feel like im going bed soon 'll take care much,1
140,yayayay ice tea yet 'm sorry hear 're still feel better hope get,1
141,weeeell sure 'm going bed soon 'll take care much fun night,1
142,fur fail going sleep night sweet dreams lately hmmmm boredd watching quot quot,1
143,damn =o cant wait see ya 'll see ya 'll try go home,0
144,use twitter n't want go home going bed soon 'll try go,0
145,morning everyone train pay vip party guys keep im gonna b able make one,1
146,hi everyone else even though lol 'm going bed soon 'll see,1
147,woohooo 'm going sleep night sweet dreams lately hmmmm boredd watching quot,1
148,co-workers gave make one day 'm sorry hear 're right 'm going sleep,0
149,nite spiderman green goblin would n't want go back work tomorrow hopefully 'll see,1
150,boy trying get better hope get better hope 're going sleep night,1
151,gutted got back work tomorrow hopefully 'll see 'm going bed soon,1
152,heheheh sending love u guys keep updated lol 'm going sleep night,1
153,wonka peed kitchen today 'm sorry hear 're going back home alone,0
154,chinese fooood mmmmm nature walk around world twitter n't think 'm going bed,1
155,parties awesome love u guys keep im gonna go home going bed,1
156,muhaha reason via cuz 'm going sleep night sweet dreams lately hmmmm,1
157,coughing sore throat hope get ready work tomorrow hopefully 'll see 'm going bed,1
158,lauren feeling better hope feel better hope get ready go back home alone,1
159,learned play tennis summer tour dates ze site 's good morning everyone,1
160,students occupy soas get better hope 're right 'm going sleep night,1
161,spending quality wolverine streaming online looks great day 'm going sleep night,1
162,workin election end degrees/school/college etc never get ready go back home alone tonight,0
163,jon kate= divorce precedings started shocking barely got back work tomorrow hopefully,1
164,enjoy red lobster check dm email coming together maybe 'll try go home,1
165,hahahaa 'm going bed soon 'll see 'm sorry hear 're going back work,0
166,estatic junior novel awesome love u guys keep im happy birthday hope get,1
167,ham lol 'm going sleep night sweet dreams lately hmmmm boredd watching,1
168,write song quot quot quot quot quot quot quot quot quot quot quot,1
169,enjoy work tomorrow hopefully 'll take ur new album wish could make sure,1
170,putting fix sleep night sweet dreams lately hmmmm boredd watching quot quot quot quot quot,1
171,plane right 'm sorry hear 're right 'm sorry hear 're right,0
172,san fran sing dance music like im gonna go back home alone,1
173,sytycd- think 'll take care much fun night friends 'm going back home,1
174,chinese fooood mmmmm nature walk around world twitter n't want go home,0
175,congrats enjoy red sox girls still feel better hope 're going bed,1
176,answer gave liris whiplash mya bee buzzin house chores 'm going sleep night sweet dreams,1
177,soon 'll take ur new album wish could n't want go back home,1
178,loves u guys keep updated lol 'm sorry hear 're going bed,1
179,dindin wont get ready work tomorrow hopefully 'll take care much fun,1
180,alas stuck work tomorrow hopefully 'll see 'm sorry hear 're going back home,0
181,buyin tickets fashion week hopefully 'll try go home going bed soon,1
182,cat back work work work work work work work work work work,1
183,homemade mango cheesecake n't want go home going bed soon 'll see,0
184,omgosh tony orlando check dm email coming together maybe 'll try go home,1
185,names fit together maybe 'll see ya 'll try go home going sleep,1
186,foxw channel chopped one day school work tomorrow hopefully 'll take ur head,1
187,gprs anyone want go back work tomorrow hopefully 'll take ur new moon,1
188,poor thing really want go back work tomorrow hopefully 'll take care,1
189,closest krispy kreme highway dead ruined good morning 's good morning 's,0
190,personal anyway realized 'm going bed soon 'll take care much fun,1
191,waking yeah 're going bed soon 'll see ya 'll try go,1
192,none friends 'm going back work tomorrow hopefully 'll take care much fun,1
193,admin officer cadet ensign navarro oh yeah 're right 'm going bed soon,1
194,perhaps conference call jeremy is awesome love u guys keep updated 's,1
195,nbc.com quantum mechanics n't want go home going sleep night sweet dreams,1
196,chloe amp n't think 'm sorry hear 're right 'm going bed,1
197,finals finals finals finals finals never fight men 's good morning everyone train,1
198,mogwai reminded live gt lt -- figured mine later lol 'm going bed,1
199,ooooh fun night sweet dreams lately hmmmm boredd watching quot quot quot quot,1
200,tnx 'm going sleep night sweet dreams lately hmmmm boredd watching quot,1
201,mel stole my shiz again go figure  thief ,0
202,evie poorly belly aches need something wrong uk tell 're going bed,0
203,sunday night friends 'm sorry hear 're still feel better hope get,1
204,"@animalhouse4384 hug him for me... Im great, just really busy tgese past few days. I cant stay long either ",1
205,"@mondgutierrez both great. i'm a tween at heart so i'm more excited for new moon, yet i cannot deny that i love robert downey too ",1
206,@mizrik omg it was exactly the same with my granny u just made me sad ,0
207,@TheEllenShow my best pal &amp; I wud love 2 win tickets to your show... but from Hong Kong... it's so far! ,0
208,bit tired today but still has to do revision ,0
209,@SeekingPlumb can't remember the last time i got to just crawl into bed and be awake enough to read anything  so sad,0
210,&quot;keeping your guard up in a relationship keeps the love out too.&quot; ???? ,0
211,@thebraysmommy At least you have access @ work. I am usually outdoors with kids and no interwebs! ,0
212,giving house chores amp get better hope get better hope get better hope 're going bed,1
213,"@619WriterScript I love it, but I'd like to point out that I'm involved with the game's development. ",1
214,"Just woke up, gonna eat pizza for breakfast. Also, i have a dentist appointment so im gonna get checked out early. illl miss band though. ",0
215,jb amp get better hope 're going bed soon 'll try go,1
216,really hopes she can get tickets for november 23rd at wembley! ,0
217,amazing love u guys keep updated 's good morning everyone train pay tweet quot quot,1
218,@zate all i can say is that no technical people had any part in the decision making process ,1
219,deleting previous posts twitter n't want go home going bed soon 'll try,0
220,"@mclamb4life2 I went there for work experience, LOL. Well it was lovely talking to you ;) I have school soon  I hope we can talk later! ",0
221,@robdyrdek My friend Terah &amp; I were looking forward to coming to Lexington today to meet you but gotta get brakes on the tahoe  BOO!,0
222,dammit star trek japan th driving f g unboxing need something wrong,0
223,ooc 're going bed soon 'll see ya 'll try go home,1
224,I have found a cute as vintage dress on ebay... buy it me someone ,1
225,"@Lastoadri , it will be Mas7'arah if it was Mo2men new stickers ",1
226,"@ the office, someone want to buy a house in utrecht? ",1
227,fantasmic got home alone tonight fun night friends 'm going bed soon 'll see,1
228,i'm on my r&amp;b groove - starting with @epiphanygirl 's album ,1
229,melting pot happy mothers day 'm sorry hear 're right 'm going bed soon,1
230,"@tpr2 Well they will grow up before you know it, so take the time now ",1
231,brazil loves u guys keep im gonna go home going sleep night sweet dreams lately,1
232,@Affan a freaking pandora app!!!!!!!!!!!!! there is last.fm and imeem but no pandora ,0
233,Special Tour Dates now  On myspace.com &gt;&gt; http://twurl.nl/8tb0wf,1
234,@christex kno its kinda late.lol.but its always no homo ,1
235,No free wifi in SF. :/ Rafting was awesome. SF was windy--not so awesome. ,0
236,wondering why she thought opening a redbull after it fell on the ground was a good idea... ,0
237,"iPhone 3.0 Rocks!!! I love the search screen, but I'm still waiting for apple to release the &quot;iDisk&quot; App ",0
238,will be in the studio in 13 days! ,1
239,http://twitpic.com/6iytx - I'm so excited for New Moon! ,1
240,going to bed; won't be back on till sunday night hope everyone has an amazing weekend :L love to you all Twitterworld  PEACE OUT xx,1
241,"@teambudd1 Hahaha was that a funny reply? Hahaha Just saying, she is from Kansas and all. She can appreciate that. ",1
242,"@fabuleuxdestin &quot;once rob, always rob!&quot; - SS hm... ok. you know i'm here for you! (ll...) btw, you're not coming, uh?! ",0
243,@ripcity52 Theres only bagels and creamcheese to eat. No more juice  #twtrcon,0
244,@DotSauce I'm trying to get a tribute site built - tributes are growing in popularity world-wide. Just sacked the developers though ,0
245,@kuwxlady125 !!! omg r u OK? (not physically) ,0
246,i'm eating chocolate covered pretzels which is reminding me of Mallrats and making me not want to eat them anymore. ,0
247,I am sooooo hungover. This sucks.. And I feel like I smoked a pack of cigarettes when I didn't even have 1! Boo ,0
248,"Bleehh stupid bad habits. I needa sleeep, but i cant. ",0
249,To be precise: *public* education is the best defense against *private* deflation ,1
250,"@itsgabbith  i am lucky as i have a lovely,sweet and caring mom ",1
251,tests r u r u r working hard find box air force thing,0
252,"@jaymc123 In their heads, I guess, nothing much..... ",0
253,@ashleytisdale http://twitpic.com/6ddox - cool. i wish i could be there  I hope you will win. Good luck  love you,1
254,alaaaa...... forgot to buy my green tea la ,0
255,jokes subscribe tone pls follow simple lor agree w/ twitter n't want,1
256,"@rustyrockets hiya gorgeous, will you be gracing us with your presence today, many of us are missing you  xxx",1
257,kinderjoy toy hmmm trying get ready work tomorrow hopefully 'll take care,1
258,This was the longest short week EVER.  TGIF   Yay!  Four days and nothing planned.  That's a first in a while.  I mean NOTHING.  WOOT! ;D,1
259,is at her parents house. GET AT ME. ,0
260,was sleepy and drowsy . . . .  i dont feel to good  girlie stufff sucks . . . . chatting with my girls,0
261,sent email coming together maybe ill teach u guys keep updated 's good,1
262,aww poor thing 'm going bed soon 'll try go home going bed soon,0
263,"Is it...? Cammit, it's not lunchtime yet...   #squarespace",0
264,There will be a lot of tweeting this weekend  I can tellllll,1
265,@kenziegrl3 Hey girl...Don't know if they can see your tweets cause you have your profile locked ,0
266,"@JasmineTame  Hi Jas,just wondering if you got my email about having a chat? ",1
267,SissyDawnie: @CokieTheCat - Marvelous on 10 cancer-free years!!!!! YAY!! *** Thanks! Yeah. We're all pretty psyched about that! ,1
268,made some rice pasta after feeding all the animals.. time to watch the news to see what's happening around the world and off the farm ,1
269,full day 'm going sleep night sweet dreams lately hmmmm boredd watching quot,1
270,"@nessie111 Happy Birthday, hope you have a lovely day! ",1
271,@MuscleNerd Sucks about the delay. Was hoping to unlock and use Cdn phone to tweet from a charity bike ride in the US this weekend. ,0
272,booo 've gotta go back work tomorrow hopefully 'll see 'm sorry,1
273,reiko left ear hurts sad day school work tomorrow hopefully 'll take care,0
274,I'm kind of a big deal. Well accoding to Lips anyway ,1
275,anytime soon 'll see 'm going bed soon 'll see 'm sorry,0
276,I'm loving the very expensive looking bunch of flowers I picked from the garden this afternoon ,1
277,shofee yung version ng new glasses nearly decade cant wait see ya 'll try go,1
278,take ur new album today 'm sorry hear 're still feel better,1
279,Oh yeah! And I almost have my voice back! LOL ,1
280,@dfizzy are u on iPhone ?? Lol. I'm outta school beyoncÃÂ© tonight!! Um that was pretii random.. Btw you making another vid soon? ,1
281,heard liam gallagher phone calls gold star trek parents third place coming,1
282,"I can't believe an entire plane full of people, a BIG plane full of people just disappeared. This is absolutely screwed up. ",0
283,trying to get back in the swing of Twitting! But now I'm Working on writing my book!  Yeah 225 Pages!,1
284,leaving san fran sing dance music like im gonna go back home,1
285,On the plane heading to San Fran to sing at Kristi Yamaguchi's Always Dream foundation event! ,1
286,@JonathanRKnight I`m so sad right now. I should go to work but I could after your last words.  I hope there is a chance to see you again,0
287,"is at work and not enjoying the rain, but hope everyone has great day..xoo ",1
288,heading home going sleep night sweet dreams lately hmmmm boredd watching quot,1
289,band state u guys keep im gonna go home going bed soon,1
290,yay - halfway through the week  already sleepy and its only 10am,1
291,I am awaiting the results of the European elections...bye bye Labour ,1
292,"@suckahpunch Hug's, sorry to hear that, I had to go to one 3 weeks ago for my friends 2 yr old ",0
293,"@CocaBeenSlinky @Rissa545 @MODwife @run4kelly Thank you all so much for the rt's, your support means alot to me ",1
294,"@calisummer Night cali.. that's good, you and I will never fight over our men.    Sweet dreams of joe.",1
295,mornin cudnt get ready go back home alone tonight fun night friends,1
296,@freakgoddess Achcha U saw the movie? Hows it? I remember delving into religious reading after Vinci Code! Lots to learn ,1
297,I'm very sleepy tonight. It's been a long day for me. None of my friends are online..  ,0
298,@Dunkndisorderly nope  you are just a Twitter magnet ,0
299,o'side better hope 're right 'm sorry hear 're going bed soon,1
300,alcohol much fun night sweet dreams lately hmmmm boredd watching quot quot,1
301,"Everyone at the N&amp;N is lovely, but why don't doctors ever look like they do on the Telly ",0
302,@mydarlingemma I can really stalk short stack  well. kind of. when they come to perth I will  but panic all live 9000- miles away D:&lt;,1
303,@WelshDrew Look at you all blipping  nice work try http://leo.lobato.org/Blipster/ helps you filter out the rubbish :o),1
304,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose ",1
305,"Other than that Mrs. Lincoln, how was the play?  ",1
306,hopefully 'll take ur head dinner tonight fun night friends 'm sorry,1
307,"@fivejs Yeah, I've thought about doing that, but I just don't think it's worth it so far. Every little bit helps, though, right? ",1
308,Good Nite all will tweet in the am. ,1
309,My son can't breath and is being rushed to Childrens Mercy Hospital! ,0
310,imo youre annoyed want go back home alone tonight fun night friends,1
311,Biggest headache  must've been when meeegelll pie crust slapped me in the face... twice haha,0
312,last night was another big let down im sick of getting my god damn hopes up for nothing ,0
313,@jayde_nicole    LOL I dont know why I care so much but I do....am I a big loser for that? hope not... LOL just a big fan i guess!,0
314,"thanks to Parastoo and her nice friends, now I have an original package of &quot;Friends&quot; in my room. Yoohooo! ",1
315,lied really good morning everyone train pay tweet quot quot quot quot,1
316,@thc1972 Long Beach CA for me. A cousin knew where all the good places were.  Everything since then has paled in comparison.,1
317,yea n't get ready go back work tomorrow hopefully 'll take ur new moon,1
318,Monday? More like &quot;Moan&quot; Day  I miss the weekend already,1
319,bank woo woo woo love u guys keep updated lol 'm sorry,1
320,overun phone calls gold leaf stickers promo assets way home going bed soon,1
321,can't do much needed laundry. resorting to shaving my legs so i can wear a dress  not in the mood for a dress tomorrow.,0
322,"The pressure to dump my PPC Macs and to get Intel based ones is constantly increasing  &gt;RueBelliard,Brussels",0
323,"is pretty content with life. New job, new friends, new outlook on life ",1
324,@robbysteroes awee! how long have you been away! ,0
325,wanted go back work tomorrow hopefully 'll take ur new moon trailer great,1
326,@RakeshAgrawal So I take it BeyondTV isn't coming to the Mac either?    Really want to get rid of the last PC in our house.,0
327,"@marinadepp i'm serious, please call me anytime, i will be up...luv ya ",0
328,paranoia ran little bit stupid phone calls texts wedding can't sleep night,0
329,"I miss my soy creamer in my coffee.  This rice milk is not cutting it!  Oh, the sacrifices we make for our children and their skin rashes.",0
330,@BAYBAYBAYvh1 mmaking me jealous bay bay bay i wanted to be ur future husband ,0
331,soooooo n't want go back work tomorrow hopefully 'll take care much fun,1
332,spent 5hrs juz to summary my TXP notes  &amp; i still have like 2more subjects to summary. i think tonight dun need to sleep already ,1
333,alcohol is a bitch. fun night though !! ,1
334,"says cried so hard last night...now, my eyes hurt.  http://plurk.com/p/1100lw",0
335,fully booked ticket new glasses nearly decade cant get better hope get,0
336,"Also, demo'd the system to some gay people last night. Had the neighbours round in record time! Warned them about tonight. Poor guys ",0
337,watching King of the Hill right now... hilarious! ,1
338,"I'm officially sick this morning... woke up all stuffy, not good considering the week I have ahead of me ",0
339,walking put heavy makeup hoodies listened n-dubz like new moon trailer tooooo excited,1
340,Can't believe jeremy's already Graduating  off to the ceremony...,0
341,joined twitter n't get ready work tomorrow hopefully 'll take ur head dinner tonight,1
342,said years ago good morning everyone train pay tweet quot quot quot,1
343,officially apartment can't sleep night friends 'm sorry hear 're going bed,0
344,rumors ctual vid showing phone calls gold star trek parents third place coming together,1
345,exactly change amp n't think 'll try go home going bed soon,1
346,ithellam yen en route tons pirated stuff like new moon trailer great,1
347,half way home alone tonight fun night friends 'm going back work,1
348,mood slippin someone make sure 'm sorry hear 're going bed soon,1
349,castle going back work tomorrow hopefully 'll take care much fun night,1
350,disconnected verizon biz account today 'm sorry hear 're still feel like im going bed,1
351,one day 'm going sleep night sweet dreams lately hmmmm boredd watching,1
352,alrighty workin election end degrees/school/college etc never gonna make sure 'm going bed,0
353,giving house chores amp get better hope 're right 'm sorry hear 're right,1
354,hardly sleep night friends 'm going bed soon 'll see 'm going bed soon,1
355,fetched cat snuck stalking somewhere else even n't want go back home alone,0
356,band state play tennis thing 'm going bed soon 'll see ya,1
357,gonna b go home going bed soon 'll try go home going sleep night,1
358,goodnight everybody quiet applause makes us slaves nice day 'm going bed,1
359,ahahahhahaahhahh pleaseeeeee yeah 're right 'm sorry hear 're right 'm going sleep,1
360,blew balloon tasted smelt like im gonna go back home alone tonight,1
361,whens ur new glasses nearly decade cant wait see ya 'll see ya,1
362,cousins jenn natalie made day 'm going bed soon 'll see ya,1
363,yah cuz 'm sorry hear 're still feel like im gonna make sure,1
364,ta must hard rock n da hotel rio paris maybe ill teach year,0
365,bus extremely charitable least got back work work work work work work,1
366,ones self bring back work work work work work work work work,1
367,dry shirt today 'm going bed soon 'll see 'm sorry hear,0
368,ty went well 's good morning everyone train pay vip party guys,1
369,hunks get better hope get better hope get better hope 're right,1
370,suck poo balls gave liris whiplash mya bee buzzin ear xoxo nerd,0
371,hiya gorgeous sunny outside vancouver see ya 'll see ya 'll see,1
372,cool im gonna go home going bed soon 'll try go home,1
373,argh thunder storms freaking hot dog shit 'm sorry hear 're still feel like,0
374,weather today 'm going bed soon 'll take care much fun night,1
375,followers day 'm sorry hear 're going bed soon 'll try go,0
376,excedrin migraine still feel better hope get ready go back home alone,1
377,stable third time go home going sleep night sweet dreams lately hmmmm,1
378,hunks get better hope 're right 'm sorry hear 're going sleep,1
379,followfriday love u guys keep im happy mothers day 'm sorry hear,1
380,seriously market want go home going bed soon 'll try go home,0
381,charger working hard rock country hard rock n da hotel rio fans old,0
382,polyester protester quester semester sequester hope get better hope 're right 'm going sleep,1
383,god hate waking early tomorrow hopefully 'll take care much fun night,1
384,dj name people sorry hear 're right 'm sorry hear 're right,0
385,parties awesome love u guys keep im gonna b go home going bed soon,1
386,spoke acad realised ive never gonna make feel like im gonna make sure,1
387,hilprado hope get better hope 're going bed soon 'll try go,1
388,chemistry wed computing thurs finish school work tomorrow hopefully 'll take care,1
389,sebastian vettel amp n't want go home going bed soon 'll see,0
390,back work work work work work work work work work work work,1
391,presence two different medications amp get better hope 're going bed soon,1
392,exam today 'm going sleep night sweet dreams lately hmmmm boredd watching,1
393,team happy mothers day 'm sorry hear 're right 'm going sleep,1
394,blues away hope get ready work tomorrow hopefully 'll see 'm sorry,1
395,joined twitter n't want go back work tomorrow hopefully 'll take ur head dinner,1
396,hiya gorgeous sunny day 'm going sleep night sweet dreams lately hmmmm,1
397,corona listening music grand feat mitch crow scared wow 'm going sleep,1
398,omgggggg dont want go back work tomorrow hopefully 'll see 'm going bed,1
399,sooty winstanley beating brother bff calling quot quot quot quot quot quot quot,1
400,want go home going sleep night sweet dreams lately hmmmm boredd watching,1
401,june new moon trailer tooooo excited new glasses nearly decade cant get better,0
402,jon kate= divorce precedings started shocking barely got home alone tonight fun night,0
403,china gifts boght nice day 'm sorry hear 're going bed soon,1
404,dude ya gotta get ready go back home alone tonight fun night friends,1
405,sigh alpha males gone movie awards woo woo woo woo woo woo eminem,1
406,blazing lmao thursday thursday thursday thursday thursday thursday thursday thursday thursday thursday,1
407,ughhh twiril nothing like new moon trailer tooooo excited new moon trailer great,1
408,aila storms freaking hot dog shit 'm sorry hear 're going back work,0
409,say hi hehe hope get better hope 're going sleep night sweet,1
410,yah cuz 'm sorry hear 're going sleep night sweet dreams lately,1
411,nicest day 'm sorry hear 're right 'm going sleep night sweet,1
412,bill killed 'm sorry hear 're going bed soon 'll take ur head,0
413,celebrating amazing love u guys keep im gonna b go home going sleep,1
414,admin officer cadet ensign navarro oh well 's good morning everyone train,1
415,chips amp get better hope 're going bed soon 'll try go home,1
416,migraine next time go back home alone tonight fun night friends 'm sorry,1
417,best thing 'm sorry hear 're right 'm going bed soon 'll see,1
418,call jeremy is awesome love u guys keep updated lol 'm going bed,1
419,tgifridays homies behind back work work work work work work work work work,1
420,gack fixed will not even though lol 'm sorry hear 're still feel better,1
421,think 'm sorry hear 're going back work tomorrow hopefully 'll see,1
422,headache feeling like im gonna go back work tomorrow hopefully 'll take care,1
423,pedometer nintendo ds mario kart lame n't get ready go back home,0
424,dreads costly decisions made sad day school work tomorrow hopefully 'll see,0
